country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,saturated_fatty_acids_policy,trans_fatty_acids_policy,population_2020,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,animal_products_fat_supply,vegetal_products_fat_supply,sugar_sweeteners_fat_supply,Risk_factor_obese_2018,Risk_factor_all-rf_2018
Morocco,96.2,165.9,38.5,15.2,23.9,35.5,282.6,24.8,Yes,Yes,Yes,Yes,Yes,36910.56,7303.23,24.11,58.36,3.39,26.56,27.26,68.16,0.0,9159.67,24341.5
Monaco,,,,,,,,,No,Yes,No,No,No,,,,,,,0.0,0.0,0.0,,
Republic of Moldova,98.3,90.3,112.7,16.5,61.5,29.5,584.1,99.0,Yes,No,Yes,Yes,Yes,4033.96,11023.51,17.76,50.65,2.04,29.95,46.2,45.59,0.0,1436.67,5536.5
Madagascar,89.6,166.4,8.1,0.8,23.5,40.1,53.1,28.8,Yes,No,No,No,No,27691.02,1539.46,4.62,22.22,15.07,28.05,36.46,60.2,0.0,717.67,6094.33
Maldives,230.4,177.8,28.4,14.9,143.0,40.4,229.4,38.0,No,No,No,No,No,540.54,22683.08,7.44,28.19,10.04,24.47,54.65,36.58,0.0,10.0,81.33
Mexico,149.8,194.0,40.6,1.9,4.7,7.9,370.5,47.4,Yes,Yes,Yes,Yes,Yes,128932.75,19200.55,27.25,63.49,1.46,20.24,44.3,51.72,0.0,24694.67,58969.0
Marshall Islands,112.4,186.1,40.6,3.4,12.4,49.3,103.6,30.1,No,No,No,No,No,,3416.06,51.5,82.62,0.48,21.5,0.0,0.0,0.0,31.33,47.17
North Macedonia,91.9,150.8,21.3,12.0,49.9,25.3,639.6,51.7,Yes,No,No,No,No,2083.38,15208.02,21.36,56.92,1.6,28.75,32.15,57.66,0.0,930.17,3251.83
Mali,70.0,91.0,15.0,12.9,56.9,53.1,92.5,21.4,Yes,Yes,No,No,No,20250.83,2229.99,7.53,26.05,10.79,32.42,33.71,64.38,0.0,754.67,4056.83
Malta,132.8,90.0,3.7,6.6,86.0,40.6,514.5,63.3,No,No,Yes,Yes,Yes,441.54,40654.16,27.96,65.48,0.94,20.39,52.12,37.91,0.0,141.83,396.67
